,x,y,time,bird,type
36,12.0,11.0,37,6,communicators
37,9.0,11.0,38,6,communicators
38,12.0,11.0,39,6,communicators
39,12.0,9.0,40,6,communicators
40,11.0,10.0,41,6,communicators
41,9.0,12.0,42,6,communicators
42,11.0,13.0,43,6,communicators
43,13.0,14.0,44,6,communicators
44,12.0,15.0,45,6,communicators
45,11.0,17.0,46,6,communicators
46,11.0,20.0,47,6,communicators
47,11.0,18.0,48,6,communicators
48,11.0,20.0,49,6,communicators
49,0.0,0.0,50,6,communicators
0,18.0,4.0,1,7,communicators
1,16.0,2.0,2,7,communicators
2,14.0,2.0,3,7,communicators
3,15.0,2.0,4,7,communicators
4,15.0,1.0,5,7,communicators
5,14.0,1.0,6,7,communicators
6,14.0,1.0,7,7,communicators
7,15.0,2.0,8,7,communicators
8,14.0,2.0,9,7,communicators
9,15.0,1.0,10,7,communicators
10,15.0,4.0,11,7,communicators
11,15.0,7.0,12,7,communicators
12,16.0,9.0,13,7,communicators
13,17.0,10.0,14,7,communicators
14,17.0,9.0,15,7,communicators
15,18.0,9.0,16,7,communicators
16,18.0,9.0,17,7,communicators
17,16.0,10.0,18,7,communicators
18,17.0,8.0,19,7,communicators
19,15.0,8.0,20,7,communicators
20,14.0,7.0,21,7,communicators
21,16.0,5.0,22,7,communicators
22,16.0,3.0,23,7,communicators
23,15.0,2.0,24,7,communicators
24,15.0,4.0,25,7,communicators
25,16.0,2.0,26,7,communicators
26,17.0,1.0,27,7,communicators
27,19.0,1.0,28,7,communicators
28,18.0,3.0,29,7,communicators
29,19.0,2.0,30,7,communicators
30,18.0,3.0,31,7,communicators
31,16.0,1.0,32,7,communicators
32,17.0,3.0,33,7,communicators
33,17.0,6.0,34,7,communicators
34,16.0,5.0,35,7,communicators
35,15.0,7.0,36,7,communicators
36,17.0,6.0,37,7,communicators
37,18.0,8.0,38,7,communicators
38,18.0,10.0,39,7,communicators
39,19.0,8.0,40,7,communicators
40,17.0,6.0,41,7,communicators
41,15.0,4.0,42,7,communicators
42,13.0,5.0,43,7,communicators
43,14.0,3.0,44,7,communicators
44,13.0,5.0,45,7,communicators
45,12.0,7.0,46,7,communicators
46,10.0,7.0,47,7,communicators
47,10.0,9.0,48,7,communicators
48,10.0,10.0,49,7,communicators
49,0.0,0.0,50,7,communicators
0,7.0,4.0,1,8,communicators
1,5.0,3.0,2,8,communicators
2,8.0,3.0,3,8,communicators
3,11.0,3.0,4,8,communicators
4,14.0,3.0,5,8,communicators
5,14.0,1.0,6,8,communicators
6,14.0,1.0,7,8,communicators
7,15.0,2.0,8,8,communicators
8,14.0,2.0,9,8,communicators
9,15.0,1.0,10,8,communicators
10,15.0,4.0,11,8,communicators
11,15.0,7.0,12,8,communicators
12,16.0,9.0,13,8,communicators
13,17.0,10.0,14,8,communicators
14,17.0,9.0,15,8,communicators
15,15.0,8.0,16,8,communicators
16,17.0,6.0,17,8,communicators
17,19.0,8.0,18,8,communicators
18,18.0,6.0,19,8,communicators
19,17.0,8.0,20,8,communicators
20,16.0,7.0,21,8,communicators
21,16.0,7.0,22,8,communicators
22,16.0,9.0,23,8,communicators
23,15.0,7.0,24,8,communicators
24,13.0,9.0,25,8,communicators
25,13.0,8.0,26,8,communicators
26,11.0,9.0,27,8,communicators
27,12.0,8.0,28,8,communicators
28,15.0,8.0,29,8,communicators
29,17.0,8.0,30,8,communicators
30,18.0,7.0,31,8,communicators
31,17.0,5.0,32,8,communicators
32,19.0,5.0,33,8,communicators
33,18.0,5.0,34,8,communicators
34,18.0,4.0,35,8,communicators
35,16.0,6.0,36,8,communicators
36,18.0,8.0,37,8,communicators
37,16.0,6.0,38,8,communicators
38,17.0,5.0,39,8,communicators
39,16.0,6.0,40,8,communicators
40,17.0,7.0,41,8,communicators
41,17.0,5.0,42,8,communicators
42,15.0,3.0,43,8,communicators
43,17.0,5.0,44,8,communicators
44,15.0,7.0,45,8,communicators
45,14.0,9.0,46,8,communicators
46,13.0,9.0,47,8,communicators
47,12.0,7.0,48,8,communicators
48,13.0,7.0,49,8,communicators
49,0.0,0.0,50,8,communicators
0,9.0,21.0,1,9,communicators
1,10.0,21.0,2,9,communicators
2,10.0,21.0,3,9,communicators
3,10.0,21.0,4,9,communicators
4,11.0,20.0,5,9,communicators
5,11.0,20.0,6,9,communicators
6,10.0,20.0,7,9,communicators
7,11.0,21.0,8,9,communicators
8,11.0,18.0,9,9,communicators
9,13.0,16.0,10,9,communicators
