,x,y,time,forager,type
60,21.0,18.0,61,3,communicators
61,20.0,17.0,62,3,communicators
62,20.0,20.0,63,3,communicators
63,22.0,22.0,64,3,communicators
64,24.0,24.0,65,3,communicators
65,24.0,27.0,66,3,communicators
66,25.0,28.0,67,3,communicators
67,26.0,28.0,68,3,communicators
68,26.0,31.0,69,3,communicators
69,27.0,30.0,70,3,communicators
70,28.0,29.0,71,3,communicators
71,27.0,31.0,72,3,communicators
72,28.0,29.0,73,3,communicators
73,29.0,27.0,74,3,communicators
74,30.0,25.0,75,3,communicators
75,29.0,23.0,76,3,communicators
76,28.0,23.0,77,3,communicators
77,30.0,21.0,78,3,communicators
78,29.0,20.0,79,3,communicators
79,29.0,22.0,80,3,communicators
80,28.0,24.0,81,3,communicators
81,30.0,25.0,82,3,communicators
82,28.0,24.0,83,3,communicators
83,25.0,24.0,84,3,communicators
84,22.0,24.0,85,3,communicators
85,19.0,24.0,86,3,communicators
86,16.0,24.0,87,3,communicators
87,13.0,24.0,88,3,communicators
88,11.0,24.0,89,3,communicators
89,10.0,23.0,90,3,communicators
90,10.0,22.0,91,3,communicators
91,10.0,22.0,92,3,communicators
92,10.0,19.0,93,3,communicators
93,10.0,18.0,94,3,communicators
94,10.0,16.0,95,3,communicators
95,9.0,15.0,96,3,communicators
96,9.0,16.0,97,3,communicators
97,9.0,16.0,98,3,communicators
98,6.0,16.0,99,3,communicators
99,7.0,18.0,100,3,communicators
100,5.0,17.0,101,3,communicators
101,7.0,17.0,102,3,communicators
102,5.0,16.0,103,3,communicators
103,3.0,17.0,104,3,communicators
104,3.0,19.0,105,3,communicators
105,4.0,17.0,106,3,communicators
106,7.0,17.0,107,3,communicators
107,10.0,17.0,108,3,communicators
108,12.0,15.0,109,3,communicators
109,15.0,15.0,110,3,communicators
110,17.0,13.0,111,3,communicators
111,20.0,13.0,112,3,communicators
112,23.0,13.0,113,3,communicators
113,26.0,13.0,114,3,communicators
114,27.0,15.0,115,3,communicators
115,28.0,15.0,116,3,communicators
116,28.0,14.0,117,3,communicators
117,30.0,16.0,118,3,communicators
118,30.0,14.0,119,3,communicators
119,0.0,0.0,120,3,communicators
0,8.0,13.0,1,4,communicators
1,6.0,15.0,2,4,communicators
2,3.0,15.0,3,4,communicators
3,4.0,16.0,4,4,communicators
4,4.0,15.0,5,4,communicators
5,3.0,16.0,6,4,communicators
6,3.0,13.0,7,4,communicators
7,3.0,10.0,8,4,communicators
8,3.0,7.0,9,4,communicators
9,5.0,5.0,10,4,communicators
10,7.0,3.0,11,4,communicators
11,8.0,1.0,12,4,communicators
12,7.0,1.0,13,4,communicators
13,7.0,0.0,14,4,communicators
14,8.0,0.0,15,4,communicators
15,6.0,2.0,16,4,communicators
16,5.0,2.0,17,4,communicators
17,6.0,3.0,18,4,communicators
18,5.0,3.0,19,4,communicators
19,8.0,3.0,20,4,communicators
20,11.0,3.0,21,4,communicators
21,14.0,3.0,22,4,communicators
22,15.0,5.0,23,4,communicators
23,16.0,4.0,24,4,communicators
24,19.0,4.0,25,4,communicators
25,22.0,4.0,26,4,communicators
26,25.0,4.0,27,4,communicators
27,27.0,2.0,28,4,communicators
28,30.0,2.0,29,4,communicators
29,31.0,2.0,30,4,communicators
30,31.0,1.0,31,4,communicators
31,30.0,1.0,32,4,communicators
32,31.0,1.0,33,4,communicators
33,31.0,1.0,34,4,communicators
34,31.0,4.0,35,4,communicators
35,31.0,7.0,36,4,communicators
36,32.0,9.0,37,4,communicators
37,33.0,9.0,38,4,communicators
38,30.0,9.0,39,4,communicators
39,27.0,9.0,40,4,communicators
40,26.0,10.0,41,4,communicators
41,26.0,9.0,42,4,communicators
42,27.0,10.0,43,4,communicators
43,27.0,10.0,44,4,communicators
44,27.0,9.0,45,4,communicators
45,26.0,9.0,46,4,communicators
46,24.0,11.0,47,4,communicators
47,22.0,13.0,48,4,communicators
48,19.0,13.0,49,4,communicators
49,17.0,15.0,50,4,communicators
50,16.0,15.0,51,4,communicators
51,15.0,15.0,52,4,communicators
52,15.0,16.0,53,4,communicators
53,15.0,13.0,54,4,communicators
54,15.0,14.0,55,4,communicators
55,17.0,16.0,56,4,communicators
56,19.0,18.0,57,4,communicators
57,21.0,19.0,58,4,communicators
58,22.0,18.0,59,4,communicators
59,23.0,19.0,60,4,communicators
60,20.0,19.0,61,4,communicators
61,22.0,21.0,62,4,communicators
62,22.0,24.0,63,4,communicators
63,24.0,26.0,64,4,communicators
64,26.0,27.0,65,4,communicators
65,25.0,27.0,66,4,communicators
66,25.0,28.0,67,4,communicators
67,26.0,28.0,68,4,communicators
68,24.0,29.0,69,4,communicators
69,26.0,30.0,70,4,communicators
70,25.0,29.0,71,4,communicators
71,22.0,29.0,72,4,communicators
72,19.0,29.0,73,4,communicators
73,19.0,27.0,74,4,communicators
74,21.0,29.0,75,4,communicators
75,18.0,29.0,76,4,communicators
76,16.0,29.0,77,4,communicators
77,19.0,29.0,78,4,communicators
78,19.0,31.0,79,4,communicators
79,20.0,30.0,80,4,communicators
80,22.0,31.0,81,4,communicators
81,21.0,32.0,82,4,communicators
82,20.0,33.0,83,4,communicators
83,18.0,31.0,84,4,communicators
84,16.0,29.0,85,4,communicators
85,14.0,27.0,86,4,communicators
86,12.0,25.0,87,4,communicators
87,10.0,24.0,88,4,communicators
88,11.0,24.0,89,4,communicators
89,10.0,23.0,90,4,communicators
90,8.0,24.0,91,4,communicators
91,6.0,22.0,92,4,communicators
92,6.0,20.0,93,4,communicators
93,5.0,18.0,94,4,communicators
94,6.0,17.0,95,4,communicators
95,5.0,18.0,96,4,communicators
96,7.0,18.0,97,4,communicators
97,9.0,17.0,98,4,communicators
98,10.0,17.0,99,4,communicators
99,10.0,16.0,100,4,communicators
100,12.0,18.0,101,4,communicators
101,13.0,16.0,102,4,communicators
102,16.0,16.0,103,4,communicators
103,18.0,14.0,104,4,communicators
104,19.0,12.0,105,4,communicators
105,20.0,11.0,106,4,communicators
106,20.0,12.0,107,4,communicators
107,19.0,11.0,108,4,communicators
108,19.0,11.0,109,4,communicators
109,19.0,12.0,110,4,communicators
110,20.0,12.0,111,4,communicators
111,20.0,11.0,112,4,communicators
112,23.0,11.0,113,4,communicators
113,25.0,13.0,114,4,communicators
114,27.0,15.0,115,4,communicators
115,28.0,15.0,116,4,communicators
116,28.0,14.0,117,4,communicators
117,27.0,12.0,118,4,communicators
118,27.0,13.0,119,4,communicators
119,0.0,0.0,120,4,communicators
0,33.0,16.0,1,5,communicators
1,33.0,13.0,2,5,communicators
2,31.0,11.0,3,5,communicators
3,31.0,8.0,4,5,communicators
4,29.0,6.0,5,5,communicators
5,28.0,5.0,6,5,communicators
6,27.0,5.0,7,5,communicators
7,28.0,4.0,8,5,communicators
8,27.0,5.0,9,5,communicators
9,25.0,3.0,10,5,communicators
10,22.0,3.0,11,5,communicators
11,19.0,3.0,12,5,communicators
12,16.0,3.0,13,5,communicators
13,13.0,3.0,14,5,communicators
14,10.0,3.0,15,5,communicators
15,7.0,3.0,16,5,communicators
16,5.0,2.0,17,5,communicators
17,6.0,3.0,18,5,communicators
18,5.0,3.0,19,5,communicators
19,8.0,3.0,20,5,communicators
20,11.0,3.0,21,5,communicators
21,14.0,3.0,22,5,communicators
22,15.0,5.0,23,5,communicators
23,16.0,4.0,24,5,communicators
24,19.0,4.0,25,5,communicators
25,22.0,4.0,26,5,communicators
26,25.0,4.0,27,5,communicators
27,27.0,2.0,28,5,communicators
28,30.0,2.0,29,5,communicators
29,31.0,2.0,30,5,communicators
30,31.0,1.0,31,5,communicators
31,30.0,1.0,32,5,communicators
32,30.0,4.0,33,5,communicators
33,32.0,6.0,34,5,communicators
34,32.0,8.0,35,5,communicators
35,32.0,8.0,36,5,communicators
36,32.0,9.0,37,5,communicators
