,x,y,time,bird,type
38,7.0,5.0,39,7,communicators
39,9.0,5.0,40,7,communicators
40,8.0,7.0,41,7,communicators
41,10.0,8.0,42,7,communicators
42,8.0,10.0,43,7,communicators
43,8.0,10.0,44,7,communicators
44,10.0,8.0,45,7,communicators
45,9.0,8.0,46,7,communicators
46,10.0,6.0,47,7,communicators
47,11.0,5.0,48,7,communicators
48,11.0,2.0,49,7,communicators
49,0.0,0.0,50,7,communicators
0,17.0,21.0,1,8,communicators
1,18.0,21.0,2,8,communicators
2,20.0,22.0,3,8,communicators
3,22.0,22.0,4,8,communicators
4,20.0,22.0,5,8,communicators
5,22.0,23.0,6,8,communicators
6,21.0,22.0,7,8,communicators
7,19.0,24.0,8,8,communicators
8,18.0,22.0,9,8,communicators
9,17.0,22.0,10,8,communicators
10,19.0,23.0,11,8,communicators
11,19.0,24.0,12,8,communicators
12,19.0,25.0,13,8,communicators
13,20.0,23.0,14,8,communicators
14,19.0,22.0,15,8,communicators
15,19.0,23.0,16,8,communicators
16,17.0,24.0,17,8,communicators
17,15.0,22.0,18,8,communicators
18,13.0,20.0,19,8,communicators
19,11.0,18.0,20,8,communicators
20,9.0,16.0,21,8,communicators
21,7.0,14.0,22,8,communicators
22,6.0,12.0,23,8,communicators
23,8.0,13.0,24,8,communicators
24,8.0,12.0,25,8,communicators
25,6.0,13.0,26,8,communicators
26,7.0,11.0,27,8,communicators
27,8.0,11.0,28,8,communicators
28,6.0,11.0,29,8,communicators
29,7.0,12.0,30,8,communicators
30,7.0,13.0,31,8,communicators
31,7.0,10.0,32,8,communicators
32,7.0,7.0,33,8,communicators
33,9.0,7.0,34,8,communicators
34,8.0,6.0,35,8,communicators
35,8.0,5.0,36,8,communicators
36,7.0,6.0,37,8,communicators
37,9.0,6.0,38,8,communicators
38,7.0,5.0,39,8,communicators
39,9.0,5.0,40,8,communicators
40,8.0,7.0,41,8,communicators
41,7.0,8.0,42,8,communicators
42,5.0,10.0,43,8,communicators
43,4.0,9.0,44,8,communicators
44,5.0,11.0,45,8,communicators
45,5.0,14.0,46,8,communicators
46,4.0,16.0,47,8,communicators
47,4.0,17.0,48,8,communicators
48,2.0,15.0,49,8,communicators
49,0.0,0.0,50,8,communicators
0,28.0,16.0,1,9,communicators
1,28.0,13.0,2,9,communicators
2,26.0,11.0,3,9,communicators
3,28.0,9.0,4,9,communicators
4,26.0,10.0,5,9,communicators
5,29.0,10.0,6,9,communicators
6,29.0,12.0,7,9,communicators
7,28.0,11.0,8,9,communicators
8,28.0,13.0,9,9,communicators
9,27.0,13.0,10,9,communicators
10,28.0,15.0,11,9,communicators
11,28.0,15.0,12,9,communicators
12,29.0,14.0,13,9,communicators
13,29.0,17.0,14,9,communicators
14,28.0,19.0,15,9,communicators
15,29.0,21.0,16,9,communicators
16,29.0,24.0,17,9,communicators
17,26.0,24.0,18,9,communicators
18,27.0,26.0,19,9,communicators
19,27.0,24.0,20,9,communicators
20,28.0,22.0,21,9,communicators
21,25.0,22.0,22,9,communicators
22,23.0,22.0,23,9,communicators
23,21.0,20.0,24,9,communicators
24,19.0,18.0,25,9,communicators
25,16.0,18.0,26,9,communicators
26,14.0,16.0,27,9,communicators
27,12.0,14.0,28,9,communicators
28,10.0,12.0,29,9,communicators
29,7.0,12.0,30,9,communicators
30,7.0,13.0,31,9,communicators
31,7.0,10.0,32,9,communicators
32,7.0,7.0,33,9,communicators
33,9.0,7.0,34,9,communicators
34,8.0,6.0,35,9,communicators
35,8.0,5.0,36,9,communicators
36,7.0,6.0,37,9,communicators
37,9.0,6.0,38,9,communicators
38,7.0,5.0,39,9,communicators
39,9.0,5.0,40,9,communicators
40,8.0,7.0,41,9,communicators
41,6.0,6.0,42,9,communicators
42,4.0,5.0,43,9,communicators
43,1.0,5.0,44,9,communicators
44,1.0,8.0,45,9,communicators
45,1.0,9.0,46,9,communicators
46,0.0,11.0,47,9,communicators
47,0.0,14.0,48,9,communicators
48,1.0,15.0,49,9,communicators
49,0.0,0.0,50,9,communicators
